cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell79	79	3	0	0	46	1	2	3	False
cell79	79	3	1	47	74	1	2	3	False
cell79	79	3	2	75	80	1	2	3	False
cell79	79	3	3	81	83	1	2	3	False
cell79	79	3	4	84	86	1	2	3	False
cell79	79	3	5	87	89	1	2	3	False
cell79	79	3	6	90	243	1	2	3	False
cell79	79	3	7	244	497	1	1	2	False
cell80	80	7	0	0	46	1	1	2	False
cell80	80	7	1	47	74	2	1	3	False
cell80	80	7	2	75	80	2	0	2	True
cell80	80	7	3	81	83	1	0	1	True
cell80	80	7	4	84	86	0	0	0	False
cell80	80	7	5	87	89	1	0	1	True
cell80	80	7	6	90	243	1	1	2	False
cell80	80	7	7	244	497	1	1	2	False
cell81	81	3	0	0	46	1	2	3	False
cell81	81	3	1	47	74	1	2	3	False
cell81	81	3	2	75	80	1	2	3	False
cell81	81	3	3	81	83	1	2	3	False
cell81	81	3	4	84	86	1	2	3	False
cell81	81	3	5	87	89	1	2	3	False
cell81	81	3	6	90	243	1	2	3	False
cell81	81	3	7	244	497	1	1	2	False
cell82	82	5	0	0	46	1	1	2	False
cell82	82	5	1	47	74	2	1	3	False
cell82	82	5	2	75	80	2	0	2	True
cell82	82	5	3	81	83	1	0	1	True
cell82	82	5	4	84	86	1	0	1	True
cell82	82	5	5	87	89	1	0	1	True
cell82	82	5	6	90	243	1	1	2	False
cell82	82	5	7	244	497	1	1	2	False
cell83	83	3	0	0	46	1	2	3	False
cell83	83	3	1	47	74	1	2	3	False
cell83	83	3	2	75	80	1	2	3	False
cell83	83	3	3	81	83	1	2	3	False
cell83	83	3	4	84	86	1	2	3	False
cell83	83	3	5	87	89	1	2	3	False
cell83	83	3	6	90	243	1	2	3	False
cell83	83	3	7	244	497	1	1	2	False
cell84	84	3	0	0	46	1	2	3	False
cell84	84	3	1	47	74	1	2	3	False
cell84	84	3	2	75	80	1	2	3	False
cell84	84	3	3	81	83	1	2	3	False
cell84	84	3	4	84	86	1	2	3	False
cell84	84	3	5	87	89	1	2	3	False
cell84	84	3	6	90	243	1	2	3	False
cell84	84	3	7	244	497	1	1	2	False
cell85	85	3	0	0	46	1	2	3	False
cell85	85	3	1	47	74	1	2	3	False
cell85	85	3	2	75	80	1	2	3	False
cell85	85	3	3	81	83	1	2	3	False
cell85	85	3	4	84	86	1	2	3	False
cell85	85	3	5	87	89	1	2	3	False
cell85	85	3	6	90	243	1	2	3	False
cell85	85	3	7	244	497	1	1	2	False
cell86	86	3	0	0	46	1	2	3	False
cell86	86	3	1	47	74	1	2	3	False
cell86	86	3	2	75	80	1	2	3	False
cell86	86	3	3	81	83	1	2	3	False
cell86	86	3	4	84	86	1	2	3	False
cell86	86	3	5	87	89	1	2	3	False
cell86	86	3	6	90	243	1	2	3	False
cell86	86	3	7	244	497	1	1	2	False
cell87	87	3	0	0	46	1	2	3	False
cell87	87	3	1	47	74	1	2	3	False
cell87	87	3	2	75	80	1	2	3	False
cell87	87	3	3	81	83	1	2	3	False
cell87	87	3	4	84	86	1	2	3	False
cell87	87	3	5	87	89	1	2	3	False
cell87	87	3	6	90	243	1	2	3	False
cell87	87	3	7	244	497	1	1	2	False
cell88	88	7	0	0	46	1	1	2	False
cell88	88	7	1	47	74	2	1	3	False
cell88	88	7	2	75	80	2	0	2	True
cell88	88	7	3	81	83	1	0	1	True
cell88	88	7	4	84	86	0	0	0	False
cell88	88	7	5	87	89	1	0	1	True
cell88	88	7	6	90	243	1	1	2	False
cell88	88	7	7	244	497	1	1	2	False
cell89	89	3	0	0	46	1	2	3	False
cell89	89	3	1	47	74	1	2	3	False
cell89	89	3	2	75	80	1	2	3	False
cell89	89	3	3	81	83	1	2	3	False
cell89	89	3	4	84	86	1	2	3	False
cell89	89	3	5	87	89	1	2	3	False
cell89	89	3	6	90	243	1	2	3	False
cell89	89	3	7	244	497	1	1	2	False
cell90	90	3	0	0	46	1	2	3	False
cell90	90	3	1	47	74	1	2	3	False
cell90	90	3	2	75	80	1	2	3	False
cell90	90	3	3	81	83	1	2	3	False
cell90	90	3	4	84	86	1	2	3	False
cell90	90	3	5	87	89	1	2	3	False
cell90	90	3	6	90	243	1	2	3	False
cell90	90	3	7	244	497	1	1	2	False
cell91	91	3	0	0	46	1	2	3	False
cell91	91	3	1	47	74	1	2	3	False
cell91	91	3	2	75	80	1	2	3	False
cell91	91	3	3	81	83	1	2	3	False
cell91	91	3	4	84	86	1	2	3	False
cell91	91	3	5	87	89	1	2	3	False
cell91	91	3	6	90	243	1	2	3	False
cell91	91	3	7	244	497	1	1	2	False
cell92	92	3	0	0	46	1	2	3	False
cell92	92	3	1	47	74	1	2	3	False
cell92	92	3	2	75	80	1	2	3	False
cell92	92	3	3	81	83	1	2	3	False
cell92	92	3	4	84	86	1	2	3	False
cell92	92	3	5	87	89	1	2	3	False
cell92	92	3	6	90	243	1	2	3	False
cell92	92	3	7	244	497	1	1	2	False
cell93	93	3	0	0	46	1	2	3	False
cell93	93	3	1	47	74	1	2	3	False
cell93	93	3	2	75	80	1	2	3	False
cell93	93	3	3	81	83	1	2	3	False
cell93	93	3	4	84	86	1	2	3	False
cell93	93	3	5	87	89	1	2	3	False
cell93	93	3	6	90	243	1	2	3	False
cell93	93	3	7	244	497	1	1	2	False
cell94	94	0	0	0	46	1	1	2	False
cell94	94	0	1	47	74	1	1	2	False
cell94	94	0	2	75	80	1	1	2	False
cell94	94	0	3	81	83	1	1	2	False
cell94	94	0	4	84	86	1	1	2	False
cell94	94	0	5	87	89	1	1	2	False
cell94	94	0	6	90	243	1	1	2	False
cell94	94	0	7	244	497	1	1	2	False
cell95	95	3	0	0	46	1	2	3	False
cell95	95	3	1	47	74	1	2	3	False
cell95	95	3	2	75	80	1	2	3	False
cell95	95	3	3	81	83	1	2	3	False
cell95	95	3	4	84	86	1	2	3	False
cell95	95	3	5	87	89	1	2	3	False
cell95	95	3	6	90	243	1	2	3	False
cell95	95	3	7	244	497	1	1	2	False
cell96	96	3	0	0	46	1	2	3	False
cell96	96	3	1	47	74	1	2	3	False
cell96	96	3	2	75	80	1	2	3	False
cell96	96	3	3	81	83	1	2	3	False
cell96	96	3	4	84	86	1	2	3	False
cell96	96	3	5	87	89	1	2	3	False
cell96	96	3	6	90	243	1	2	3	False
cell96	96	3	7	244	497	1	1	2	False
cell97	97	3	0	0	46	1	2	3	False
cell97	97	3	1	47	74	1	2	3	False
cell97	97	3	2	75	80	1	2	3	False
cell97	97	3	3	81	83	1	2	3	False
cell97	97	3	4	84	86	1	2	3	False
cell97	97	3	5	87	89	1	2	3	False
cell97	97	3	6	90	243	1	2	3	False
cell97	97	3	7	244	497	1	1	2	False
cell98	98	3	0	0	46	1	2	3	False
cell98	98	3	1	47	74	1	2	3	False
cell98	98	3	2	75	80	1	2	3	False
cell98	98	3	3	81	83	1	2	3	False
cell98	98	3	4	84	86	1	2	3	False
cell98	98	3	5	87	89	1	2	3	False
cell98	98	3	6	90	243	1	2	3	False
cell98	98	3	7	244	497	1	1	2	False
cell99	99	3	0	0	46	1	2	3	False
cell99	99	3	1	47	74	1	2	3	False
cell99	99	3	2	75	80	1	2	3	False
cell99	99	3	3	81	83	1	2	3	False
cell99	99	3	4	84	86	1	2	3	False
cell99	99	3	5	87	89	1	2	3	False
cell99	99	3	6	90	243	1	2	3	False
cell99	99	3	7	244	497	1	1	2	False
cell100	100	3	0	0	46	1	2	3	False
cell100	100	3	1	47	74	1	2	3	False
cell100	100	3	2	75	80	1	2	3	False
cell100	100	3	3	81	83	1	2	3	False
cell100	100	3	4	84	86	1	2	3	False
cell100	100	3	5	87	89	1	2	3	False
cell100	100	3	6	90	243	1	2	3	False
cell100	100	3	7	244	497	1	1	2	False
cell101	101	3	0	0	46	1	2	3	False
cell101	101	3	1	47	74	1	2	3	False
cell101	101	3	2	75	80	1	2	3	False
cell101	101	3	3	81	83	1	2	3	False
cell101	101	3	4	84	86	1	2	3	False
cell101	101	3	5	87	89	1	2	3	False
cell101	101	3	6	90	243	1	2	3	False
cell101	101	3	7	244	497	1	1	2	False
cell102	102	8	0	0	46	1	1	2	False
cell102	102	8	1	47	74	2	1	3	False
cell102	102	8	2	75	80	2	0	2	True
cell102	102	8	3	81	83	1	0	1	True
cell102	102	8	4	84	86	0	0	0	False
cell102	102	8	5	87	89	1	0	1	True
cell102	102	8	6	90	243	1	1	2	False
cell102	102	8	7	244	497	1	1	2	False
cell103	103	3	0	0	46	1	2	3	False
cell103	103	3	1	47	74	1	2	3	False
cell103	103	3	2	75	80	1	2	3	False
cell103	103	3	3	81	83	1	2	3	False
cell103	103	3	4	84	86	1	2	3	False
cell103	103	3	5	87	89	1	2	3	False
cell103	103	3	6	90	243	1	2	3	False
cell103	103	3	7	244	497	1	1	2	False
cell104	104	3	0	0	46	1	2	3	False
cell104	104	3	1	47	74	1	2	3	False
cell104	104	3	2	75	80	1	2	3	False
cell104	104	3	3	81	83	1	2	3	False
cell104	104	3	4	84	86	1	2	3	False
cell104	104	3	5	87	89	1	2	3	False
cell104	104	3	6	90	243	1	2	3	False
cell104	104	3	7	244	497	1	1	2	False
cell105	105	4	0	0	46	1	2	3	False
cell105	105	4	1	47	74	1	2	3	False
cell105	105	4	2	75	80	1	2	3	False
cell105	105	4	3	81	83	1	2	3	False
cell105	105	4	4	84	86	1	2	3	False
cell105	105	4	5	87	89	1	2	3	False
cell105	105	4	6	90	243	1	2	3	False
cell105	105	4	7	244	497	1	1	2	False
cell106	106	7	0	0	46	1	1	2	False
cell106	106	7	1	47	74	2	1	3	False
cell106	106	7	2	75	80	2	0	2	True
cell106	106	7	3	81	83	1	0	1	True
cell106	106	7	4	84	86	0	0	0	False
cell106	106	7	5	87	89	1	0	1	True
cell106	106	7	6	90	243	1	1	2	False
cell106	106	7	7	244	497	1	1	2	False
cell107	107	4	0	0	46	1	2	3	False
cell107	107	4	1	47	74	1	2	3	False
cell107	107	4	2	75	80	1	2	3	False
cell107	107	4	3	81	83	1	2	3	False
cell107	107	4	4	84	86	1	2	3	False
cell107	107	4	5	87	89	1	2	3	False
cell107	107	4	6	90	243	1	2	3	False
cell107	107	4	7	244	497	1	1	2	False
cell108	108	8	0	0	46	1	1	2	False
cell108	108	8	1	47	74	2	1	3	False
cell108	108	8	2	75	80	2	0	2	True
cell108	108	8	3	81	83	1	0	1	True
cell108	108	8	4	84	86	0	0	0	False
cell108	108	8	5	87	89	1	0	1	True
cell108	108	8	6	90	243	1	1	2	False
cell108	108	8	7	244	497	1	1	2	False
cell109	109	4	0	0	46	1	2	3	False
cell109	109	4	1	47	74	1	2	3	False
cell109	109	4	2	75	80	1	2	3	False
cell109	109	4	3	81	83	1	2	3	False
cell109	109	4	4	84	86	1	2	3	False
cell109	109	4	5	87	89	1	2	3	False
cell109	109	4	6	90	243	1	2	3	False
cell109	109	4	7	244	497	1	1	2	False
cell110	110	0	0	0	46	1	1	2	False
cell110	110	0	1	47	74	1	1	2	False
cell110	110	0	2	75	80	1	1	2	False
cell110	110	0	3	81	83	1	1	2	False
cell110	110	0	4	84	86	1	1	2	False
cell110	110	0	5	87	89	1	1	2	False
cell110	110	0	6	90	243	1	1	2	False
cell110	110	0	7	244	497	1	1	2	False
cell111	111	3	0	0	46	1	2	3	False
cell111	111	3	1	47	74	1	2	3	False
cell111	111	3	2	75	80	1	2	3	False
cell111	111	3	3	81	83	1	2	3	False
cell111	111	3	4	84	86	1	2	3	False
cell111	111	3	5	87	89	1	2	3	False
cell111	111	3	6	90	243	1	2	3	False
cell111	111	3	7	244	497	1	1	2	False
cell112	112	4	0	0	46	1	2	3	False
cell112	112	4	1	47	74	1	2	3	False
cell112	112	4	2	75	80	1	2	3	False
cell112	112	4	3	81	83	1	2	3	False
cell112	112	4	4	84	86	1	2	3	False
cell112	112	4	5	87	89	1	2	3	False
cell112	112	4	6	90	243	1	2	3	False
cell112	112	4	7	244	497	1	1	2	False
cell113	113	3	0	0	46	1	2	3	False
cell113	113	3	1	47	74	1	2	3	False
cell113	113	3	2	75	80	1	2	3	False
cell113	113	3	3	81	83	1	2	3	False
cell113	113	3	4	84	86	1	2	3	False
cell113	113	3	5	87	89	1	2	3	False
cell113	113	3	6	90	243	1	2	3	False
cell113	113	3	7	244	497	1	1	2	False
cell114	114	3	0	0	46	1	2	3	False
cell114	114	3	1	47	74	1	2	3	False
cell114	114	3	2	75	80	1	2	3	False
cell114	114	3	3	81	83	1	2	3	False
cell114	114	3	4	84	86	1	2	3	False
cell114	114	3	5	87	89	1	2	3	False
cell114	114	3	6	90	243	1	2	3	False
cell114	114	3	7	244	497	1	1	2	False
cell115	115	3	0	0	46	1	2	3	False
cell115	115	3	1	47	74	1	2	3	False
cell115	115	3	2	75	80	1	2	3	False
cell115	115	3	3	81	83	1	2	3	False
cell115	115	3	4	84	86	1	2	3	False
cell115	115	3	5	87	89	1	2	3	False
cell115	115	3	6	90	243	1	2	3	False
cell115	115	3	7	244	497	1	1	2	False
cell116	116	8	0	0	46	1	1	2	False
cell116	116	8	1	47	74	2	1	3	False
cell116	116	8	2	75	80	2	0	2	True
cell116	116	8	3	81	83	1	0	1	True
cell116	116	8	4	84	86	0	0	0	False
cell116	116	8	5	87	89	1	0	1	True
cell116	116	8	6	90	243	1	1	2	False
cell116	116	8	7	244	497	1	1	2	False
cell117	117	8	0	0	46	1	1	2	False
cell117	117	8	1	47	74	2	1	3	False
cell117	117	8	2	75	80	2	0	2	True
cell117	117	8	3	81	83	1	0	1	True
cell117	117	8	4	84	86	0	0	0	False
cell117	117	8	5	87	89	1	0	1	True
cell117	117	8	6	90	243	1	1	2	False
cell117	117	8	7	244	497	1	1	2	False
cell118	118	3	0	0	46	1	2	3	False
cell118	118	3	1	47	74	1	2	3	False
cell118	118	3	2	75	80	1	2	3	False
cell118	118	3	3	81	83	1	2	3	False
cell118	118	3	4	84	86	1	2	3	False
cell118	118	3	5	87	89	1	2	3	False
cell118	118	3	6	90	243	1	2	3	False
cell118	118	3	7	244	497	1	1	2	False
cell119	119	4	0	0	46	1	2	3	False
cell119	119	4	1	47	74	1	2	3	False
cell119	119	4	2	75	80	1	2	3	False
cell119	119	4	3	81	83	1	2	3	False
cell119	119	4	4	84	86	1	2	3	False
cell119	119	4	5	87	89	1	2	3	False
cell119	119	4	6	90	243	1	2	3	False
cell119	119	4	7	244	497	1	1	2	False
cell120	120	4	0	0	46	1	2	3	False
cell120	120	4	1	47	74	1	2	3	False
cell120	120	4	2	75	80	1	2	3	False
cell120	120	4	3	81	83	1	2	3	False
cell120	120	4	4	84	86	1	2	3	False
cell120	120	4	5	87	89	1	2	3	False
cell120	120	4	6	90	243	1	2	3	False
cell120	120	4	7	244	497	1	1	2	False
cell121	121	3	0	0	46	1	2	3	False
cell121	121	3	1	47	74	1	2	3	False
cell121	121	3	2	75	80	1	2	3	False
cell121	121	3	3	81	83	1	2	3	False
cell121	121	3	4	84	86	1	2	3	False
cell121	121	3	5	87	89	1	2	3	False
cell121	121	3	6	90	243	1	2	3	False
cell121	121	3	7	244	497	1	1	2	False
cell122	122	3	0	0	46	1	2	3	False
cell122	122	3	1	47	74	1	2	3	False
cell122	122	3	2	75	80	1	2	3	False
cell122	122	3	3	81	83	1	2	3	False
cell122	122	3	4	84	86	1	2	3	False
cell122	122	3	5	87	89	1	2	3	False
cell122	122	3	6	90	243	1	2	3	False
cell122	122	3	7	244	497	1	1	2	False
cell123	123	3	0	0	46	1	2	3	False
cell123	123	3	1	47	74	1	2	3	False
cell123	123	3	2	75	80	1	2	3	False
cell123	123	3	3	81	83	1	2	3	False
cell123	123	3	4	84	86	1	2	3	False
cell123	123	3	5	87	89	1	2	3	False
cell123	123	3	6	90	243	1	2	3	False
cell123	123	3	7	244	497	1	1	2	False
cell124	124	4	0	0	46	1	2	3	False
cell124	124	4	1	47	74	1	2	3	False
cell124	124	4	2	75	80	1	2	3	False
cell124	124	4	3	81	83	1	2	3	False
cell124	124	4	4	84	86	1	2	3	False
cell124	124	4	5	87	89	1	2	3	False
cell124	124	4	6	90	243	1	2	3	False
cell124	124	4	7	244	497	1	1	2	False
cell125	125	3	0	0	46	1	2	3	False
cell125	125	3	1	47	74	1	2	3	False
cell125	125	3	2	75	80	1	2	3	False
cell125	125	3	3	81	83	1	2	3	False
cell125	125	3	4	84	86	1	2	3	False
cell125	125	3	5	87	89	1	2	3	False
cell125	125	3	6	90	243	1	2	3	False
cell125	125	3	7	244	497	1	1	2	False
cell126	126	8	0	0	46	1	1	2	False
cell126	126	8	1	47	74	2	1	3	False
cell126	126	8	2	75	80	2	0	2	True
cell126	126	8	3	81	83	1	0	1	True
cell126	126	8	4	84	86	0	0	0	False
cell126	126	8	5	87	89	1	0	1	True
cell126	126	8	6	90	243	1	1	2	False
cell126	126	8	7	244	497	1	1	2	False
cell127	127	3	0	0	46	1	2	3	False
cell127	127	3	1	47	74	1	2	3	False
cell127	127	3	2	75	80	1	2	3	False
cell127	127	3	3	81	83	1	2	3	False
cell127	127	3	4	84	86	1	2	3	False
cell127	127	3	5	87	89	1	2	3	False
cell127	127	3	6	90	243	1	2	3	False
cell127	127	3	7	244	497	1	1	2	False
cell128	128	8	0	0	46	1	1	2	False
cell128	128	8	1	47	74	2	1	3	False
cell128	128	8	2	75	80	2	0	2	True
cell128	128	8	3	81	83	1	0	1	True
cell128	128	8	4	84	86	0	0	0	False
cell128	128	8	5	87	89	1	0	1	True
cell128	128	8	6	90	243	1	1	2	False
cell128	128	8	7	244	497	1	1	2	False
cell129	129	3	0	0	46	1	2	3	False
cell129	129	3	1	47	74	1	2	3	False
cell129	129	3	2	75	80	1	2	3	False
cell129	129	3	3	81	83	1	2	3	False
cell129	129	3	4	84	86	1	2	3	False
cell129	129	3	5	87	89	1	2	3	False
cell129	129	3	6	90	243	1	2	3	False
cell129	129	3	7	244	497	1	1	2	False
cell130	130	4	0	0	46	1	2	3	False
cell130	130	4	1	47	74	1	2	3	False
cell130	130	4	2	75	80	1	2	3	False
cell130	130	4	3	81	83	1	2	3	False
cell130	130	4	4	84	86	1	2	3	False
cell130	130	4	5	87	89	1	2	3	False
cell130	130	4	6	90	243	1	2	3	False
cell130	130	4	7	244	497	1	1	2	False
cell131	131	3	0	0	46	1	2	3	False
cell131	131	3	1	47	74	1	2	3	False
cell131	131	3	2	75	80	1	2	3	False
cell131	131	3	3	81	83	1	2	3	False
cell131	131	3	4	84	86	1	2	3	False
cell131	131	3	5	87	89	1	2	3	False
cell131	131	3	6	90	243	1	2	3	False
cell131	131	3	7	244	497	1	1	2	False
cell132	132	3	0	0	46	1	2	3	False
cell132	132	3	1	47	74	1	2	3	False
cell132	132	3	2	75	80	1	2	3	False
cell132	132	3	3	81	83	1	2	3	False
cell132	132	3	4	84	86	1	2	3	False
cell132	132	3	5	87	89	1	2	3	False
cell132	132	3	6	90	243	1	2	3	False
cell132	132	3	7	244	497	1	1	2	False
cell133	133	4	0	0	46	1	2	3	False
cell133	133	4	1	47	74	1	2	3	False
cell133	133	4	2	75	80	1	2	3	False
cell133	133	4	3	81	83	1	2	3	False
cell133	133	4	4	84	86	1	2	3	False
cell133	133	4	5	87	89	1	2	3	False
cell133	133	4	6	90	243	1	2	3	False
cell133	133	4	7	244	497	1	1	2	False
cell134	134	8	0	0	46	1	1	2	False
cell134	134	8	1	47	74	2	1	3	False
cell134	134	8	2	75	80	2	0	2	True
cell134	134	8	3	81	83	1	0	1	True
cell134	134	8	4	84	86	0	0	0	False
cell134	134	8	5	87	89	1	0	1	True
cell134	134	8	6	90	243	1	1	2	False
cell134	134	8	7	244	497	1	1	2	False
cell135	135	5	0	0	46	1	1	2	False
cell135	135	5	1	47	74	2	1	3	False
cell135	135	5	2	75	80	2	0	2	True
cell135	135	5	3	81	83	1	0	1	True
cell135	135	5	4	84	86	1	0	1	True
cell135	135	5	5	87	89	1	0	1	True
cell135	135	5	6	90	243	1	1	2	False
cell135	135	5	7	244	497	1	1	2	False
cell136	136	3	0	0	46	1	2	3	False
cell136	136	3	1	47	74	1	2	3	False
cell136	136	3	2	75	80	1	2	3	False
cell136	136	3	3	81	83	1	2	3	False
cell136	136	3	4	84	86	1	2	3	False
cell136	136	3	5	87	89	1	2	3	False
cell136	136	3	6	90	243	1	2	3	False
cell136	136	3	7	244	497	1	1	2	False
cell137	137	3	0	0	46	1	2	3	False
cell137	137	3	1	47	74	1	2	3	False
cell137	137	3	2	75	80	1	2	3	False
cell137	137	3	3	81	83	1	2	3	False
cell137	137	3	4	84	86	1	2	3	False
cell137	137	3	5	87	89	1	2	3	False
cell137	137	3	6	90	243	1	2	3	False
cell137	137	3	7	244	497	1	1	2	False
cell138	138	3	0	0	46	1	2	3	False
cell138	138	3	1	47	74	1	2	3	False
cell138	138	3	2	75	80	1	2	3	False
cell138	138	3	3	81	83	1	2	3	False
cell138	138	3	4	84	86	1	2	3	False
cell138	138	3	5	87	89	1	2	3	False
cell138	138	3	6	90	243	1	2	3	False
cell138	138	3	7	244	497	1	1	2	False
cell139	139	3	0	0	46	1	2	3	False
cell139	139	3	1	47	74	1	2	3	False
cell139	139	3	2	75	80	1	2	3	False
cell139	139	3	3	81	83	1	2	3	False
cell139	139	3	4	84	86	1	2	3	False
cell139	139	3	5	87	89	1	2	3	False
cell139	139	3	6	90	243	1	2	3	False
cell139	139	3	7	244	497	1	1	2	False
cell140	140	3	0	0	46	1	2	3	False
cell140	140	3	1	47	74	1	2	3	False
cell140	140	3	2	75	80	1	2	3	False
cell140	140	3	3	81	83	1	2	3	False
cell140	140	3	4	84	86	1	2	3	False
cell140	140	3	5	87	89	1	2	3	False
cell140	140	3	6	90	243	1	2	3	False
cell140	140	3	7	244	497	1	1	2	False
cell141	141	3	0	0	46	1	2	3	False
cell141	141	3	1	47	74	1	2	3	False
cell141	141	3	2	75	80	1	2	3	False
cell141	141	3	3	81	83	1	2	3	False
cell141	141	3	4	84	86	1	2	3	False
cell141	141	3	5	87	89	1	2	3	False
cell141	141	3	6	90	243	1	2	3	False
cell141	141	3	7	244	497	1	1	2	False
cell142	142	4	0	0	46	1	2	3	False
cell142	142	4	1	47	74	1	2	3	False
cell142	142	4	2	75	80	1	2	3	False
cell142	142	4	3	81	83	1	2	3	False
cell142	142	4	4	84	86	1	2	3	False
cell142	142	4	5	87	89	1	2	3	False
cell142	142	4	6	90	243	1	2	3	False
cell142	142	4	7	244	497	1	1	2	False
cell143	143	5	0	0	46	1	1	2	False
cell143	143	5	1	47	74	2	1	3	False
cell143	143	5	2	75	80	2	0	2	True
cell143	143	5	3	81	83	1	0	1	True
cell143	143	5	4	84	86	1	0	1	True
cell143	143	5	5	87	89	1	0	1	True
cell143	143	5	6	90	243	1	1	2	False
cell143	143	5	7	244	497	1	1	2	False
cell144	144	4	0	0	46	1	2	3	False
cell144	144	4	1	47	74	1	2	3	False
cell144	144	4	2	75	80	1	2	3	False
cell144	144	4	3	81	83	1	2	3	False
cell144	144	4	4	84	86	1	2	3	False
cell144	144	4	5	87	89	1	2	3	False
cell144	144	4	6	90	243	1	2	3	False
cell144	144	4	7	244	497	1	1	2	False
cell145	145	0	0	0	46	1	1	2	False
cell145	145	0	1	47	74	1	1	2	False
cell145	145	0	2	75	80	1	1	2	False
cell145	145	0	3	81	83	1	1	2	False
cell145	145	0	4	84	86	1	1	2	False
cell145	145	0	5	87	89	1	1	2	False
cell145	145	0	6	90	243	1	1	2	False
cell145	145	0	7	244	497	1	1	2	False
cell146	146	3	0	0	46	1	2	3	False
cell146	146	3	1	47	74	1	2	3	False
cell146	146	3	2	75	80	1	2	3	False
cell146	146	3	3	81	83	1	2	3	False
cell146	146	3	4	84	86	1	2	3	False
cell146	146	3	5	87	89	1	2	3	False
cell146	146	3	6	90	243	1	2	3	False
cell146	146	3	7	244	497	1	1	2	False
cell147	147	3	0	0	46	1	2	3	False
cell147	147	3	1	47	74	1	2	3	False
cell147	147	3	2	75	80	1	2	3	False
cell147	147	3	3	81	83	1	2	3	False
cell147	147	3	4	84	86	1	2	3	False
cell147	147	3	5	87	89	1	2	3	False
cell147	147	3	6	90	243	1	2	3	False
cell147	147	3	7	244	497	1	1	2	False
cell148	148	3	0	0	46	1	2	3	False
cell148	148	3	1	47	74	1	2	3	False
cell148	148	3	2	75	80	1	2	3	False
cell148	148	3	3	81	83	1	2	3	False
cell148	148	3	4	84	86	1	2	3	False
cell148	148	3	5	87	89	1	2	3	False
cell148	148	3	6	90	243	1	2	3	False
cell148	148	3	7	244	497	1	1	2	False
cell149	149	5	0	0	46	1	1	2	False
cell149	149	5	1	47	74	2	1	3	False
cell149	149	5	2	75	80	2	0	2	True
cell149	149	5	3	81	83	1	0	1	True
cell149	149	5	4	84	86	1	0	1	True
cell149	149	5	5	87	89	1	0	1	True
cell149	149	5	6	90	243	1	1	2	False
cell149	149	5	7	244	497	1	1	2	False
cell150	150	3	0	0	46	1	2	3	False
cell150	150	3	1	47	74	1	2	3	False
cell150	150	3	2	75	80	1	2	3	False
cell150	150	3	3	81	83	1	2	3	False
cell150	150	3	4	84	86	1	2	3	False
cell150	150	3	5	87	89	1	2	3	False
cell150	150	3	6	90	243	1	2	3	False
cell150	150	3	7	244	497	1	1	2	False
cell151	151	3	0	0	46	1	2	3	False
cell151	151	3	1	47	74	1	2	3	False
cell151	151	3	2	75	80	1	2	3	False
cell151	151	3	3	81	83	1	2	3	False
cell151	151	3	4	84	86	1	2	3	False
cell151	151	3	5	87	89	1	2	3	False
cell151	151	3	6	90	243	1	2	3	False
cell151	151	3	7	244	497	1	1	2	False
cell152	152	3	0	0	46	1	2	3	False
cell152	152	3	1	47	74	1	2	3	False
cell152	152	3	2	75	80	1	2	3	False
cell152	152	3	3	81	83	1	2	3	False
cell152	152	3	4	84	86	1	2	3	False
cell152	152	3	5	87	89	1	2	3	False
cell152	152	3	6	90	243	1	2	3	False
cell152	152	3	7	244	497	1	1	2	False
cell153	153	3	0	0	46	1	2	3	False
cell153	153	3	1	47	74	1	2	3	False
cell153	153	3	2	75	80	1	2	3	False
cell153	153	3	3	81	83	1	2	3	False
cell153	153	3	4	84	86	1	2	3	False
cell153	153	3	5	87	89	1	2	3	False
cell153	153	3	6	90	243	1	2	3	False
cell153	153	3	7	244	497	1	1	2	False
cell154	154	3	0	0	46	1	2	3	False
cell154	154	3	1	47	74	1	2	3	False
cell154	154	3	2	75	80	1	2	3	False
cell154	154	3	3	81	83	1	2	3	False
cell154	154	3	4	84	86	1	2	3	False
cell154	154	3	5	87	89	1	2	3	False
cell154	154	3	6	90	243	1	2	3	False
cell154	154	3	7	244	497	1	1	2	False
cell155	155	7	0	0	46	1	1	2	False
cell155	155	7	1	47	74	2	1	3	False
cell155	155	7	2	75	80	2	0	2	True
cell155	155	7	3	81	83	1	0	1	True
cell155	155	7	4	84	86	0	0	0	False
cell155	155	7	5	87	89	1	0	1	True
cell155	155	7	6	90	243	1	1	2	False
cell155	155	7	7	244	497	1	1	2	False
cell156	156	3	0	0	46	1	2	3	False
cell156	156	3	1	47	74	1	2	3	False
cell156	156	3	2	75	80	1	2	3	False
cell156	156	3	3	81	83	1	2	3	False
cell156	156	3	4	84	86	1	2	3	False
cell156	156	3	5	87	89	1	2	3	False
cell156	156	3	6	90	243	1	2	3	False
cell156	156	3	7	244	497	1	1	2	False
cell157	157	3	0	0	46	1	2	3	False
cell157	157	3	1	47	74	1	2	3	False
cell157	157	3	2	75	80	1	2	3	False
cell157	157	3	3	81	83	1	2	3	False
cell157	157	3	4	84	86	1	2	3	False
cell157	157	3	5	87	89	1	2	3	False
cell157	157	3	6	90	243	1	2	3	False
cell157	157	3	7	244	497	1	1	2	False
cell158	158	5	0	0	46	1	1	2	False
cell158	158	5	1	47	74	2	1	3	False
